apartment_id;review;sentiment;rating;name;review_date
KRA-001;Tidy apartment and smooth check-in, would return.;positive;4;Mia;2025-2-6
KRA-001;Fantastic location and spotless inside, everything worked smoothly.;positive;5;Kate;2025-3-19
KRA-001;Everything matched the photos, warm, tidy and functional.;positive;5;Ella;2025-3-27
KRA-001;Tidy apartment and smooth check-in, would return.;positive;4;Lily;2025-3-28
KRA-001;Good value and clean place, a solid base for exploring.;positive;4;Max;2025-4-1
KRA-001;Lovely decor and seamless self check-in, perfect for a weekend.;positive;5;Tom;2025-4-18
KRA-001;Bright and cozy, exactly as described—great stay overall.;positive;5;James;2025-6-13
KRA-001;Great value for the area, tidy and well organized.;positive;5;Nina;2025-8-23
KRA-001;Good value and clean place, a solid base for exploring.;positive;4;Jacob;2025-10-15
KRA-001;Clean, well-equipped and close to key sights—would book again.;positive;5;Emma;2025-10-22
KRA-002;Spacious enough and very clean, felt safe and convenient.;positive;5;David;2025-2-18
KRA-002;Clean, well-equipped and close to key sights—would book again.;positive;5;Ethan;2025-4-1
KRA-002;Great value for the area, tidy and well organized.;positive;5;Oliver;2025-5-24
KRA-002;Lovely decor and seamless self check-in, perfect for a weekend.;positive;5;Sara;2025-6-26
KRA-002;Lovely decor and seamless self check-in, perfect for a weekend.;positive;5;Ethan;2025-8-3
KRA-002;Comfortable layout, fast Wi-Fi and friendly communication.;positive;5;Alex;2025-8-13
KRA-002;Good value and clean place, a solid base for exploring.;positive;4;Olivia;2025-9-14
KRA-003;Fantastic location and spotless inside, everything worked smoothly.;positive;5;Leo;2025-1-13
KRA-003;Lovely decor and seamless self check-in, perfect for a weekend.;positive;5;Sara;2025-1-26
KRA-003;Comfortable layout, fast Wi-Fi and friendly communication.;positive;5;Sophia;2025-3-8
KRA-003;Quiet at night, modern interior and stable Wi-Fi.;positive;5;Oliver;2025-6-29
KRA-003;Tidy apartment and smooth check-in, would return.;positive;4;Max;2025-9-12
KRA-003;Tidy apartment and smooth check-in, would return.;positive;4;Charlotte;2025-9-23
KRA-003;Everything matched the photos, warm, tidy and functional.;positive;5;Leo;2025-9-23
KRA-004;Clean and central, though the mattress felt a touch firm for my taste.;negative;3;Isabella;2025-1-25
KRA-004;Good value and clean place, a solid base for exploring.;positive;4;Lucas;2025-3-1
KRA-004;Clean, well-equipped and close to key sights—would book again.;positive;5;Sofia;2025-4-6
KRA-004;Comfortable layout, fast Wi-Fi and friendly communication.;positive;5;Jack;2025-5-21
KRA-004;Comfortable and convenient with easy access—minor details aside, a pleasant stay.;positive;4;Peter;2025-7-11
KRA-004;Comfortable layout, fast Wi-Fi and friendly communication.;positive;5;Nora;2025-7-25
KRA-004;Decent place—some wear on furnishings, but nothing that ruined the stay.;negative;3;Oliver;2025-9-22
